outer_id,source_row_index,age_realization_id,ngrip_realization_id,mis6_realization_id,n_response_events,response_exposure_kyr,response_end_kyr_bp__NGRIP,response_end_kyr_bp__MIS6,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__mis6_segment,beta__pre_phase_sin,beta__pre_phase_cos
11,4846,joint_04847,NGRIP_03838,5207,53,162.736107,112.471394,194.764713,-0.8118283524151891,-0.7982860329849403,1.9081450089394167,0.3881601618575357,-0.18336869986259086,-0.4505953241267478,0.8562923107736827
12,1679,joint_01680,NGRIP_06141,4658,53,168.81151699999998,118.924539,194.386978,-0.805210435352553,-0.7956578944894944,2.2977147366433126,0.5333763939584227,-0.20916491306940588,-0.3835194541181124,0.713387966884254
13,3479,joint_03480,NGRIP_07277,9962,53,164.55888000000002,115.218557,193.840323,-0.883405385814738,-0.6663234822016817,2.3455013297726923,0.7473334967200657,-0.16658257575283755,-0.3617832052296148,0.8332921983171735
14,8865,joint_08866,NGRIP_01244,8211,53,171.82674200000002,122.21952,194.107222,-0.8785401074449234,-0.6110984880615683,2.3768710872507084,0.7592922043549881,-0.1761186508123433,-0.22372972251793788,0.5592898110423842
15,1924,joint_01925,NGRIP_09367,8496,53,162.65426000000002,112.830684,194.323576,-0.8403109166155736,-0.6870558748517176,0.973651785554368,-0.8628779774363343,-0.24089406442747904,-0.46724175287913783,0.7926110244174295
16,617,joint_00618,NGRIP_09036,7943,53,164.68772,114.221727,194.965993,-0.7239789210983356,-0.9061745367818689,1.3651749796549244,-0.5744120717229736,-0.3165485625017907,-0.5849224747456195,0.7110174952564992
17,2255,joint_02256,NGRIP_03803,3511,53,164.956874,115.204128,194.252746,-0.6924594314164427,-0.9296466485144228,1.2801908972020903,-0.8377664237213976,-0.33913497455752495,-0.5572216030264538,0.6127902506671136
18,20,joint_00021,NGRIP_05722,7004,53,166.80002000000002,117.531661,193.768359,-0.7698194821581911,-0.9232147558067493,2.422082687193548,0.783921885981629,-0.17696604540296904,-0.434270053623212,0.8273654821588432
19,7633,joint_07634,NGRIP_05500,800,53,163.792947,114.191856,194.101091,-0.7374417619153403,-0.9585289142960367,2.2545019432241293,0.46722379884329857,-0.2217518910755607,-0.48348227581759273,0.8191054638862737
20,8843,joint_08844,NGRIP_09858,8244,53,162.00244600000002,112.467137,194.035309,-0.7165968275690793,-0.9829126133294186,1.7795121198043138,-0.07787783916796084,-0.23921524822366413,-0.4777801928155924,0.8544342938467611
21,2345,joint_02346,NGRIP_00918,9033,53,165.48044199999998,115.292806,194.687636,-0.7264949705042395,-0.8921953311509188,1.6979187098046344,-0.558257473765684,-0.31987738682409106,-0.31446211508627236,0.7476385742181088
22,8751,joint_08752,NGRIP_05378,1880,53,164.39004599999998,115.281436,193.60861,-0.7617796716408626,-0.9343561867084504,2.2166153125240617,0.348590360873259,-0.2212207518336781,-0.4325664140306695,0.926295124226162
23,2952,joint_02953,NGRIP_05361,5894,53,163.03201199999998,112.952902,194.57911,-0.6227927550939052,-1.1958889449539916,2.0247946918423754,-0.1250449844765458,-0.30990441934334056,-0.5871079366218612,0.8698440777116007
24,5257,joint_05258,NGRIP_07552,4319,53,167.868222,117.720231,194.647991,-0.6673642775754344,-1.1005075228364183,1.7814523350353655,-0.29547024654204157,-0.2949431719785008,-0.6018732520670548,0.7742985074199642
25,4287,joint_04288,NGRIP_03729,6894,53,163.12458500000002,113.654858,193.969727,-0.7447327567435124,-0.8677968096111248,1.2703458242757981,-0.47957230068567563,-0.2623972805587334,-0.5411986384880462,0.7318168882223965
26,8052,joint_08053,NGRIP_07058,9063,53,167.282016,117.504934,194.277082,-0.7556418556829759,-0.8784162325734634,2.2321198212376223,0.2959931958157309,-0.23903780111517117,-0.29959518740239444,0.7228539872839321
27,6576,joint_06577,NGRIP_06204,6351,53,167.032981,117.046351,194.48663,-0.7612390860033621,-0.9101819806730255,2.3248800013479567,0.4596217387405041,-0.2252223022927711,-0.3362257423836944,0.8360258451283643
28,2815,joint_02816,NGRIP_04879,2443,53,165.17516999999998,114.943767,194.731403,-0.7333008307171235,-0.98366931616646,2.2670728168050296,0.44671273027163566,-0.23763461027471328,-0.4961021405204338,0.8573490644266641
29,4546,joint_04547,NGRIP_09102,3592,53,165.61166,116.480291,193.631369,-0.7802623313652507,-0.860416168681162,1.7512477200013332,-0.0660858180479512,-0.21591907012860337,-0.49261155000259804,0.8105216942984831
30,346,joint_00347,NGRIP_08845,7125,53,163.353726,113.857254,193.996472,-0.7604638554076447,-0.9555360167756178,1.9873849688899368,0.42200015713164785,-0.18228897867214527,-0.6450636820673049,0.8457695055882856
31,8255,joint_08256,NGRIP_07610,6660,53,162.852555,113.065597,194.286958,-0.6510517605421634,-1.096276615588563,1.8755235371792602,-0.16191576142117042,-0.31149199207798456,-0.5854310756743901,0.8085758570399306
