realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_08632,NGRIP_05428,9552,True,,55,12.1861812,0.00225841826,0.159826756,-8.12780036,322.626183,4.43999755,True,True,False
joint_08633,NGRIP_09899,1964,True,,55,7.70513817,0.0212251372,0.101056042,-3.64675734,342.623735,3.22682533,True,True,False
joint_08634,NGRIP_06425,3719,True,,55,13.2249469,0.00134350495,0.173450594,-9.16656606,326.569876,4.72874871,True,True,False
joint_08635,NGRIP_05258,6119,True,,55,11.6212419,0.00299556936,0.152417346,-7.56286109,322.712453,4.25235139,True,True,False
joint_08636,NGRIP_04720,9313,True,,55,7.56617065,0.0227523845,0.0992334261,-3.50778982,318.797457,3.14296416,True,True,False
joint_08637,NGRIP_05780,8111,True,,55,12.7535377,0.00170060905,0.167267868,-8.69515683,339.754724,4.69204821,True,True,False
joint_08638,NGRIP_04741,8190,True,,55,9.51184654,0.00860060037,0.124751762,-5.45346571,332.172093,3.68385612,True,True,False
joint_08639,NGRIP_01859,6113,True,,55,8.86560924,0.0118811209,0.116276095,-4.80722841,334.215066,3.50743435,True,True,False
joint_08640,NGRIP_07533,3646,True,,55,8.46398045,0.0145234568,0.111008569,-4.40559962,340.273547,3.40965506,True,True,False
joint_08641,NGRIP_06965,2985,True,,55,12.8661468,0.00160750272,0.168744784,-8.80776599,334.418445,4.71814893,True,True,False
joint_08642,NGRIP_05442,226,True,,55,12.13263,0.00231970563,0.15912441,-8.07424914,316.439259,4.45873114,True,True,False
joint_08643,NGRIP_02897,7669,True,,55,12.4213489,0.00200788283,0.162911076,-8.36296803,320.257192,4.450892,True,True,False
joint_08644,NGRIP_07235,1931,True,,55,8.2493054,0.0161691091,0.108193018,-4.19092458,344.487534,3.36544857,True,True,False
joint_08645,NGRIP_06533,4209,True,,55,12.5108326,0.00192002651,0.164084692,-8.45245174,326.877753,4.50987096,True,True,False
joint_08646,NGRIP_08209,4069,True,,55,13.8328774,0.000991354158,0.181423851,-9.7744966,322.181468,4.98990118,True,True,False
joint_08647,NGRIP_02011,5300,True,,55,11.4132474,0.003323876,0.149689413,-7.35486659,339.723222,4.25207565,True,True,False
joint_08648,NGRIP_03483,4533,True,,55,15.7540498,0.000379360007,0.206620814,-11.695669,320.382977,5.65234605,True,True,False
joint_08649,NGRIP_08957,38,True,,55,14.2084094,0.000821642879,0.186349107,-10.1500286,339.396912,5.10137545,True,True,False
joint_08650,NGRIP_07193,5600,True,,55,11.5056915,0.00317373624,0.150901855,-7.44731069,321.609994,4.21517126,True,True,False
joint_08651,NGRIP_05265,7855,True,,55,14.7962805,0.000612390609,0.194059277,-10.7378996,332.30186,5.37809514,True,True,False
joint_08652,NGRIP_03869,1906,True,,55,15.2843317,0.000479788178,0.200460269,-11.2259509,327.28744,5.60030124,True,True,False
joint_08653,NGRIP_09841,4301,True,,55,13.3787952,0.00124403197,0.175468377,-9.32041434,331.250071,4.74786643,True,True,False
joint_08654,NGRIP_02544,8852,True,,55,13.8229578,0.000996283284,0.181293752,-9.76457701,316.945773,5.02760043,True,True,False
