realization_id,n_predictive_events,n_predictive_bins,response_exposure_kyr,loglik_reduced,loglik_full,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used,fit_valid,invalid_reason
Barker_MC_09743,70,1993,398.5,-299.47485187,-296.185128806,6.57944612925,0.0372641677336,0.0678009593033,-2.55727078109,-0.217677219713,0.404755386611,331.728661094,2.50716447852,True,True,False,True,
Barker_MC_09744,70,1993,398.5,-298.494980937,-295.798618782,5.39272430996,0.0674504412152,0.0555718329919,-1.3705489618,-0.119912674125,0.39354311422,343.054009648,2.27689532416,True,True,False,True,
Barker_MC_09745,70,1993,398.5,-301.800525864,-298.183106166,7.23483939545,0.0268518731294,0.074554763696,-3.21266404729,-0.07259805889,0.468362768559,351.189048427,2.58031562888,True,True,False,True,
Barker_MC_09746,70,1993,398.5,-300.815867694,-295.552369204,10.5269969799,0.005177160754,0.108480330989,-6.50482163178,-0.243273575143,0.533216090904,335.475714439,3.22902393486,True,True,False,True,
Barker_MC_09747,70,1993,398.5,-298.658798192,-295.355181161,6.60723406106,0.0367500008377,0.0680873129563,-2.58505871289,-0.166117090408,0.425989830038,338.696427926,2.49544345813,True,True,False,True,
Barker_MC_09748,70,1993,398.5,-298.251807645,-293.965660616,8.57229405781,0.0137578318366,0.088337186616,-4.55011870965,-0.182297142336,0.49421018864,339.752716706,2.8677270181,True,True,False,True,
Barker_MC_09749,70,1993,398.5,-300.250786019,-296.806813251,6.88794553527,0.0319375524855,0.0709800347547,-2.86577018711,-0.208097570389,0.418181809596,333.543930949,2.54516677384,True,True,False,True,
Barker_MC_09750,70,1993,398.5,-299.28640913,-295.599840548,7.37313716385,0.0250578386078,0.0759799173006,-3.35096181569,-0.0789086640525,0.47471127392,350.562326794,2.6181022685,True,True,False,True,
Barker_MC_09751,70,1993,398.5,-301.542378974,-297.706237048,7.67228385151,0.0215766854241,0.0790626133205,-3.65010850335,-0.195817469497,0.451569965551,336.556658004,2.67620065057,True,True,False,True,
Barker_MC_09752,70,1993,398.5,-300.274397467,-297.329084222,5.8906264911,0.0525855850355,0.0607026973317,-1.86845114294,-0.0527321006405,0.42404461276,352.911369395,2.35048472421,True,True,False,True,
Barker_MC_09753,70,1993,398.5,-298.49446727,-293.978229162,9.0324762169,0.0109300641412,0.0930793474648,-5.01030086874,-0.233433646998,0.491035203643,334.574012724,2.96653544735,True,True,False,True,
Barker_MC_09754,70,1993,398.5,-300.792435384,-296.658945707,8.26697935432,0.0160268525813,0.0851909294115,-4.24480400616,-0.172451232358,0.482925778397,340.348518207,2.78872958029,True,True,False,True,
Barker_MC_09755,70,1993,398.5,-296.506068229,-292.75086168,7.51041309663,0.0233956177846,0.0773945409253,-3.48823774847,-0.153908891153,0.462733016254,341.602441029,2.65200220896,True,True,False,True,
Barker_MC_09756,70,1993,398.5,-298.668349877,-295.105147038,7.12640567951,0.0283478854256,0.0734373580942,-3.10423033135,-0.1562465659,0.451749189635,340.921023931,2.60130494495,True,True,False,True,
Barker_MC_09757,70,1993,398.5,-297.660865794,-293.646843167,8.02804525508,0.0180605978583,0.0827287219824,-4.00586990692,-0.166591076366,0.480708885488,340.886090986,2.76630880669,True,True,False,True,
Barker_MC_09758,70,1993,398.5,-299.386774304,-296.268140574,6.23726746021,0.0442175402623,0.0642748202396,-2.21509211205,-0.0732801914642,0.433883229511,350.413565739,2.41103473443,True,True,False,True,
Barker_MC_09759,70,1993,398.5,-298.254450444,-294.799227189,6.91044651004,0.0315802531189,0.0712119065026,-2.88827116188,-0.173129707922,0.43598741284,338.342074497,2.55539998485,True,True,False,True,
Barker_MC_09760,70,1993,398.5,-300.418001883,-296.300842906,8.23431795466,0.0162907310959,0.084854354845,-4.2121426065,-0.123054172938,0.495822717018,346.061845792,2.77799354137,True,True,False,True,
Barker_MC_09761,70,1993,398.5,-298.144745832,-294.173080154,7.94333135591,0.0188420222411,0.0818557482522,-3.92115600775,-0.212562057298,0.461893826068,335.288264271,2.76464995212,True,True,False,True,
Barker_MC_09762,70,1993,398.5,-298.729291165,-294.086469917,9.28564249532,0.00963048926952,0.0956882169962,-5.26346714716,-0.180251747332,0.515869626572,340.739902357,2.98293688641,True,True,False,True,
Barker_MC_09763,70,1993,398.5,-299.780519142,-295.809114406,7.94280947192,0.0188469395575,0.0818503702562,-3.92063412376,-0.119585700821,0.489394588211,346.268602293,2.73898338905,True,True,False,True,
Barker_MC_09764,70,1993,398.5,-299.901853593,-296.251070265,7.30156665622,0.0259707771689,0.0752423857547,-3.27939130806,-0.11019455484,0.467182457595,346.728192837,2.61170892578,True,True,False,True,
Barker_MC_09765,70,1993,398.5,-298.469760009,-294.117051655,8.7054167068,0.0128719036649,0.0897090107984,-4.68324135864,-0.159152030759,0.50578030079,342.532966515,2.88769482454,True,True,False,True,
Barker_MC_09766,70,1993,398.5,-301.101261449,-298.015814835,6.17089322794,0.0457096147882,0.0635908361272,-2.14871787978,-0.157903151664,0.41387162899,339.116802624,2.42526695317,True,True,False,True,
Barker_MC_09767,70,1993,398.5,-300.193519823,-296.930958726,6.52512219481,0.0382902073826,0.0672411530832,-2.50294684665,-0.0948084514469,0.438703516806,347.805316091,2.45386010487,True,True,False,True,
Barker_MC_09768,70,1993,398.5,-298.647392932,-294.99211646,7.31055294396,0.025854348492,0.0753349891315,-3.2883775958,-0.124868158747,0.463618352399,344.92600011,2.61242575142,True,True,False,True,
Barker_MC_09769,70,1993,398.5,-299.758456512,-296.030816272,7.45528047869,0.024049520041,0.0768264012503,-3.43310513053,-0.214937848897,0.435117604853,333.711712803,2.63957947409,True,True,False,True,
Barker_MC_09770,70,1993,398.5,-299.459115543,-295.325228345,8.26777439617,0.0160204828382,0.0851991222896,-4.24559904801,-0.108539256406,0.499757884906,347.746585953,2.78101819266,True,True,False,True,
Barker_MC_09771,70,1993,398.5,-302.929032217,-300.203888861,5.45028671362,0.0655368068969,0.0561650115226,-1.42811136546,-0.132948578274,0.388149116242,341.092676322,2.27180147708,True,True,False,True,
Barker_MC_09772,70,1993,398.5,-297.522627661,-293.739035433,7.56718445586,0.0227408541925,0.0779795677712,-3.5450091077,-0.227845733097,0.438417289442,332.539072657,2.68633255982,True,True,False,True,
Barker_MC_09773,70,1993,398.5,-303.641850549,-300.173345837,6.93700942281,0.0311635944066,0.0714856363777,-2.91483407465,-0.147009457465,0.441799176026,341.595045459,2.53763379739,True,True,False,True,
Barker_MC_09774,70,1993,398.5,-296.869912268,-293.744037456,6.25174962398,0.0438985138745,0.0644240584243,-2.22957427582,-0.140227963433,0.423112312189,341.663761203,2.43875689879,True,True,False,True,
Barker_MC_09775,70,1993,398.5,-299.441504024,-295.056310656,8.77038673633,0.0124604784415,0.0903785246513,-4.74821138817,-0.157072551004,0.505601904291,342.741836548,2.88313112332,True,True,False,True,
Barker_MC_09776,70,1993,398.5,-300.592998317,-298.088716666,5.00856330238,0.0817342906323,0.0516130674166,-0.986387954219,-0.0185317074087,0.390192905396,357.280854306,2.18423456682,True,True,False,True,
Barker_MC_09777,70,1993,398.5,-301.467073103,-297.695899012,7.54234818351,0.0230250139321,0.0777236308644,-3.52017283535,-0.164727184316,0.461197157869,340.344642961,2.66303082437,True,True,False,True,
Barker_MC_09778,70,1993,398.5,-301.088244083,-297.138435937,7.89961629242,0.0192583962173,0.0814052660714,-3.87744094426,-0.137138793738,0.478343622085,344.002659955,2.7053409612,True,True,False,True,
Barker_MC_09779,70,1993,398.5,-299.554074823,-295.370082081,8.36798548447,0.0152375463517,0.0862317940048,-4.3458101363,-0.127783221977,0.499167615502,345.641060695,2.80254448356,True,True,False,True,
Barker_MC_09780,70,1993,398.5,-297.102380701,-293.059445614,8.08587017442,0.0175458980241,0.0833246057279,-4.06369482626,-0.167204385858,0.481325100594,340.843617921,2.77064540014,True,True,False,True,
Barker_MC_09781,70,1993,398.5,-299.965669543,-297.117592578,5.69615393085,0.0579556645283,0.058698664487,-1.67397858269,-0.14144870381,0.39785059173,340.428061188,2.3268018097,True,True,False,True,
Barker_MC_09782,70,1993,398.5,-298.144855278,-294.785392627,6.71892530256,0.0347539289073,0.0692382872436,-2.6967499544,-0.102201626906,0.448583447492,347.165272027,2.50968468353,True,True,False,True,
Barker_MC_09783,70,1993,398.5,-300.400492675,-296.432017334,7.9369506827,0.0189022306258,0.0817899956408,-3.91477533454,-0.12132973534,0.485543034855,345.969978776,2.7208530156,True,True,False,True,
Barker_MC_09784,70,1993,398.5,-302.238618256,-299.071569864,6.33409678417,0.042127759203,0.0652726429931,-2.31192143601,-0.164508972825,0.413277004071,338.294485367,2.43423265075,True,True,False,True,
