phase_deg,mc_q025,mc_median,mc_q975
175.5,0.53896773406869,0.5878973730339463,0.6407489551647253
176.0,0.5399146157743379,0.5888161785662489,0.6416644915703265
176.5,0.5407976462102794,0.5897145896778735,0.6423988039005675
177.0,0.5417134281402203,0.5906440435332482,0.6433682757576447
177.5,0.5426661028639892,0.5916923908151727,0.6444908582850654
178.0,0.5436409892864155,0.5926899787211604,0.6456613026454012
178.5,0.5447170307687565,0.5937746678766755,0.6467465769943347
179.0,0.5457817736497523,0.5948035469583954,0.6477418960488565
179.5,0.5468391859981653,0.5959079955163891,0.648806415718518
180.0,0.5479142687939123,0.5971242167029817,0.6499614646344825
180.5,0.5490469880506988,0.5982167004970372,0.6512409791048551
181.0,0.5501305837949071,0.5993278896863572,0.6525031952924878
181.5,0.5512559350637625,0.6005179953139879,0.6536145656464942
182.0,0.5524718021857689,0.6017919826542397,0.6548257410396049
182.5,0.5538108769683052,0.6030516440790551,0.6562152811506581
183.0,0.5551002119011283,0.6043303979892571,0.6576082730440935
183.5,0.5565200123092927,0.6056312237897288,0.6589629941605455
184.0,0.5579760587289851,0.6069280566235259,0.6601907716334384
184.5,0.5593087167497692,0.6082117629929502,0.6614595334220341
185.0,0.5606979662691876,0.6095889508668666,0.6629704647883246
185.5,0.562104365099768,0.6110529050637152,0.6642215973121706
186.0,0.5634011192624783,0.6124763448389363,0.6656505313451927
186.5,0.5647987729268122,0.6139158478896025,0.6670792758112747
187.0,0.5662020531842612,0.6153657868426458,0.6685628571859082
187.5,0.5676618627478333,0.6169183026850165,0.6702342379616387
188.0,0.5691189620757998,0.6184687758271846,0.6717468711217709
188.5,0.5706135617049075,0.6200200971614493,0.6733842805966596
189.0,0.5722404301281887,0.6215981677310807,0.6749754667077966
189.5,0.5738496557829079,0.6231810225959448,0.6766703777854292
190.0,0.5754693898957117,0.6248208163788898,0.6786008452176132
190.5,0.5769847929711436,0.6265133634473202,0.6804508742323859
191.0,0.5785664949534717,0.6282339548635014,0.6821996772394364
191.5,0.5802060846154948,0.6299392868493285,0.6840268783924041
192.0,0.5819369864351287,0.63170086844648,0.6859754148480058
192.5,0.5836874755364815,0.633473210786581,0.6876470161024032
193.0,0.5854698870609919,0.6353524238270858,0.6897775646209957
193.5,0.5873059522152847,0.6371145406153371,0.6917734012244829
194.0,0.589064749448716,0.6389666305222971,0.6936611225792888
194.5,0.5908936948660216,0.6409161223030954,0.6956619493233736
195.0,0.5927413817323081,0.6428030008072607,0.697761876541514
195.5,0.5946397991691826,0.6447787986891462,0.699821333504332
196.0,0.5966914861670864,0.646719139079327,0.7019858894731247
196.5,0.5986272162863955,0.6486942847950163,0.7040561321227522
197.0,0.60043874536755,0.6507529060419115,0.7062676392026795
197.5,0.6022731488491888,0.6528375676815539,0.7085744126667151
198.0,0.6041840235294256,0.6548784804298851,0.7109598919846691
198.5,0.6061241586367078,0.6569943404290932,0.7130790946599501
199.0,0.6081951570705137,0.6590935656746948,0.7153066655307108
199.5,0.6101975113446133,0.661323158511272,0.7174867051743216
200.0,0.6123996963419158,0.6635110406600209,0.720032421506502
200.5,0.61456010061353,0.6657773570147137,0.7222681013993416
201.0,0.6167380063822292,0.6679945906811171,0.7245360945028169
201.5,0.6187787518514792,0.6702539424381663,0.7269716908182756
202.0,0.6209802001055609,0.6725196788106287,0.7295302631816171
202.5,0.6232680616432454,0.6748502639840268,0.7320362965963597
203.0,0.6256181884573419,0.6772038700364155,0.7348299306784083
203.5,0.6277739554060556,0.6796243922467171,0.7375212334300902
204.0,0.6300471677785703,0.6820634563716701,0.740158489551898
204.5,0.6323689219552648,0.6844655496796119,0.7427810987072228
205.0,0.6346436681922114,0.6869507577821485,0.7455367910985301
205.5,0.636840278836276,0.6894881497795222,0.7483002275886237
206.0,0.6393201282357751,0.6920871095656091,0.7509238501177772
206.5,0.6417292839417902,0.69468637687066,0.7535364073540943
207.0,0.6440886144966587,0.6973249089384924,0.7563356674821177
207.5,0.6463774107313105,0.6999848526223654,0.7590126739603469
208.0,0.6487621327859376,0.7026591218618847,0.7619582126575983
208.5,0.6513692645151191,0.705289143836185,0.7648536841292795
209.0,0.6537705998159931,0.7079657863991615,0.7678785711238134
209.5,0.6561037505988667,0.7106926439364791,0.7709254919690605
210.0,0.6586131183860565,0.7134621107920873,0.7739757623075445
210.5,0.6611466839953165,0.7162221108181241,0.7771010939570059
211.0,0.6638416087313787,0.7190990812666207,0.7802947197469348
211.5,0.6663416972661808,0.7220108584699148,0.783504712325767
212.0,0.6690052967257138,0.7249360432981511,0.7866379405987602
212.5,0.6716428932294323,0.7278318101303904,0.7897977699114614
213.0,0.6742736459213112,0.7307967225873193,0.7929889398029499
213.5,0.6769229278418358,0.7337800581584677,0.7961835576563849
214.0,0.6797194217247211,0.7367709907463353,0.7993524290674452
214.5,0.6824864560986826,0.7397981461830794,0.8024919885864144
215.0,0.6853047437758893,0.7428934976534189,0.8057529292345523
215.5,0.6882324410099664,0.7459678105842678,0.8089974442228512
216.0,0.6911060539508538,0.7490519158617639,0.8121681211467661
216.5,0.6936924149749726,0.7522256609346922,0.8157342456648425
217.0,0.6964973033526543,0.7553363292758475,0.8189205860741536
217.5,0.699440856788009,0.7585776536242437,0.82240419694704
218.0,0.7023750471742547,0.7618127455445347,0.8260424774260275
218.5,0.7054231053659401,0.7650496077442797,0.8298209611636649
219.0,0.708559211833919,0.7683535287684558,0.8334156852984064
219.5,0.7116269153842048,0.7717613575611708,0.8367435488069401
220.0,0.7146032251110295,0.7752514571409532,0.8407256352027932
220.5,0.7175658137253278,0.7786090955135951,0.8445999570057486
221.0,0.7203854596698095,0.7820412436569433,0.8482709672417441
221.5,0.7234627824563843,0.7855077172788092,0.8521278866337539
222.0,0.7265670001345081,0.7890081444601178,0.8558092539414545
222.5,0.7295485697689101,0.7925290519482718,0.859677904831537
223.0,0.732617241982276,0.7960746598040104,0.8636721419140003
223.5,0.7357432924125902,0.7997471418076405,0.8677680610970011
224.0,0.7390850738716687,0.80335115449987,0.871824078506284
224.5,0.7421935504605357,0.807045039961156,0.8758799895940016
225.0,0.7452406360875949,0.8106653113373472,0.8799238160387568
225.5,0.7485075918460198,0.8143999612150735,0.8839419468487878
226.0,0.7517235969757458,0.8181045338816456,0.8880743574931753
226.5,0.7549145813827495,0.821928874331884,0.8921910257501879
227.0,0.7580626002470136,0.8257350066401701,0.8964841491985831
227.5,0.7613536985513156,0.82951847779887,0.900663717827759
228.0,0.7646581509832084,0.8334196066879485,0.904898008570348
228.5,0.7681661173708633,0.83731926426919,0.9090650736915183
229.0,0.7715702901023996,0.841312726675927,0.9134670452383098
229.5,0.7748540101102208,0.8453278733347376,0.9179171368535043
230.0,0.7781629598482236,0.8492948658186183,0.9222243392140731
230.5,0.7814961928202059,0.8533326494395466,0.9266052256818018
231.0,0.7848092343359389,0.8573555332849818,0.9313147866445622
231.5,0.7881487776844921,0.8614822986049008,0.936071391685375
232.0,0.791769351315992,0.8655215302782227,0.9408324275095361
232.5,0.7952697524700416,0.8696458981343753,0.9455316386195045
233.0,0.798909906518396,0.8737685130305779,0.9502629084136786
233.5,0.8023553467401889,0.8779647885158633,0.9550031716851808
234.0,0.8062087633921629,0.8821742878204986,0.9596588784414337
234.5,0.8097020244762713,0.8864577189538774,0.9643200878156044
235.0,0.8130515627449401,0.8906933955331466,0.9690180364672935
235.5,0.8167243463652293,0.8949876511329825,0.9737417284003079
236.0,0.8206800854693985,0.899297182903271,0.9784949066360267
236.5,0.8245940159517069,0.9036659750308972,0.9832055402999098
237.0,0.8282908411442784,0.9080393927236922,0.9880498874967945
237.5,0.83210340212196,0.9124294656865761,0.9928048758945931
238.0,0.8358250097991435,0.9168293977209512,0.9979419639385835
238.5,0.8397872438134296,0.9212527778243397,1.0030535185494924
239.0,0.8436948820667901,0.9257964917545836,1.0080052327055107
