realization_id,within_observation_support,comparison_id,df,LR_statistic,info_bits_per_event,nominal_p,delta_AIC,delta_AICc,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,n_bins,exposure_kyr
joint_04903,True,lr04_phase_interaction,2.0,0.7866538816316506,0.010317287762963964,0.6748080892097721,3.2133461183683494,3.2899463875777997,-200.12808927285886,-199.73476233204303,True,,True,55.0,901.0,180.0
joint_09534,True,lr04_phase_interaction,2.0,4.080640502663016,0.053519271062205276,0.1299870756778529,-0.08064050266301592,-0.004040233453565634,-200.78507668464547,-198.74475643331397,True,,True,55.0,901.0,180.0
joint_09763,True,lr04_phase_interaction,2.0,5.939179726905934,0.07789477399050418,0.05132435600997586,-1.9391797269059339,-1.8625794576964836,-200.57762943211372,-197.60803956866076,True,,True,55.0,901.0,180.0
joint_03533,True,lr04_phase_interaction,2.0,1.5281746836710681,0.02004263670676646,0.4657588156433593,2.471825316328932,2.548425585538382,-198.70213966287682,-197.93805232104128,True,,True,55.0,901.0,180.0
joint_03636,True,lr04_phase_interaction,2.0,0.4028810487320129,0.005283949918852908,0.8175522005495934,3.597118951267987,3.6737192204774374,-199.9554166845936,-199.75397616022758,True,,True,55.0,901.0,180.0
joint_02312,True,lr04_phase_interaction,2.0,1.342600609643796,0.01760875674025094,0.5110436330645445,2.657399390356204,2.7339996595656544,-199.36712652146772,-198.69582621664583,True,,True,55.0,901.0,180.0
joint_04476,True,lr04_phase_interaction,2.0,1.1386713516368445,0.01493414102008008,0.5659012557421157,2.8613286483631555,2.9379289175726058,-200.631425317097,-200.0620896412786,True,,True,55.0,901.0,180.0
joint_00113,True,lr04_phase_interaction,2.0,2.013839349297484,0.026412327657986706,0.36534262223172836,1.9861606507025158,2.062760919911966,-198.31245055294943,-197.3055308783007,True,,True,55.0,901.0,180.0
joint_01743,True,lr04_phase_interaction,2.0,4.427273868969337,0.05806550959472143,0.10930239908645589,-0.42727386896933695,-0.35067359975988666,-199.91211078404075,-197.69847384955608,True,,True,55.0,901.0,180.0
joint_03228,True,lr04_phase_interaction,2.0,3.1015505610595824,0.04067810557733675,0.21208348587553946,0.8984494389404176,0.9750497081498679,-200.427001605443,-198.8762263249132,True,,True,55.0,901.0,180.0
joint_09701,True,lr04_phase_interaction,2.0,1.9083041976978166,0.025028190932056656,0.38513856558012516,2.0916958023021834,2.1682960715116337,-200.2384885790023,-199.2843364801534,True,,True,55.0,901.0,180.0
joint_04448,True,lr04_phase_interaction,2.0,0.1710467848636199,0.0022433486207522352,0.9180316678097922,3.82895321513638,3.9055534843458304,-196.85925911444644,-196.77373572201464,True,,True,55.0,901.0,180.0
joint_06021,True,lr04_phase_interaction,2.0,3.789686010188632,0.049703283758412924,0.15034193611180857,0.21031398981136817,0.28691425902081846,-199.95554475961808,-198.06070175452376,True,,True,55.0,901.0,180.0
joint_02734,True,lr04_phase_interaction,2.0,0.6791872303992363,0.00890781862847353,0.712059634185044,3.3208127696007637,3.397413038810214,-199.58829877321295,-199.24870515801334,True,,True,55.0,901.0,180.0
joint_09531,True,lr04_phase_interaction,2.0,0.36141141808559496,0.004740058732661234,0.8346809616138102,3.638588581914405,3.7151888511238553,-198.99798412947325,-198.81727842043045,True,,True,55.0,901.0,180.0
joint_03443,True,lr04_phase_interaction,2.0,0.12015220471539578,0.0015758453626797913,0.9416928658099246,3.879847795284604,3.9564480644940545,-198.2347539957322,-198.1746778933745,True,,True,55.0,901.0,180.0
joint_01509,True,lr04_phase_interaction,2.0,2.6191967190994205,0.03435183743415798,0.26992844879956235,1.3808032809005795,1.4574035501100298,-199.71500146230264,-198.40540310275293,True,,True,55.0,901.0,180.0
