model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-105.79847665766792,225.59695331533584,337.11919042915537,4.5116740565891185,53,168.63348300000004,finite_mle,joint_06402
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-102.48685047972859,222.97370095945718,341.523560019354,4.282451858778547,53,168.63348300000004,finite_mle,joint_06402
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.19679363602239,218.39358727204478,330.6898216059879,6.296978783625605,53,162.59043100000002,finite_mle,joint_06549
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.97043840433588,219.94087680867176,332.28653866386736,5.5693164266731205,53,162.59043100000002,finite_mle,joint_06549
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.64271777267041,217.28543554534082,319.1333996295568,7.012896750980959,53,163.97627200000005,finite_mle,joint_08135
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.57888748845284,221.15777497690567,320.019154208092,7.191274861540437,53,163.97627200000005,finite_mle,joint_08135
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.95068046821352,217.90136093642704,327.8344003000179,7.466442098448739,53,164.25863700000002,finite_mle,joint_00051
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.0835014747446,220.1670029494892,330.9544534295309,7.545514835517452,53,164.25863700000002,finite_mle,joint_00051
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.20017644207643,218.40035288415285,326.69025536142004,6.9369520640788975,53,164.88427600000006,finite_mle,joint_01474
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.88016874403368,219.76033748806736,329.508097133808,6.8474863393657035,53,164.88427600000006,finite_mle,joint_01474
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-105.35593872008323,224.71187744016646,324.46389640257786,4.10002266904408,53,168.12975800000004,finite_mle,joint_06374
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.29728276959432,220.59456553918864,332.73718770625544,3.6993121876179966,53,168.12975800000004,finite_mle,joint_06374
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-103.553806794921,221.107613589842,344.36806163597197,6.401980111520671,53,167.27697800000004,finite_mle,joint_09863
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.54649608194302,219.09299216388604,347.68548072579887,6.0301823407109305,53,167.27697800000004,finite_mle,joint_09863
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.79551020243534,219.59102040487068,341.11268011390666,6.818183039586146,53,166.64754100000005,finite_mle,joint_03150
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.05257019594544,218.10514039189087,344.69436405840605,6.304260040327604,53,166.64754100000005,finite_mle,joint_03150
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.75120063586304,219.5024012717261,325.96083090759277,6.434973878270296,53,166.46359900000002,finite_mle,joint_02236
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.48135351913378,218.96270703826755,331.15975002236513,6.333660764528959,53,166.46359900000002,finite_mle,joint_02236
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.68825246905178,219.37650493810355,320.4569523737325,6.026603938848436,53,164.30189700000003,finite_mle,joint_02657
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-102.09183592714129,222.18367185428258,323.2561621316325,5.975184515981506,53,164.30189700000003,finite_mle,joint_02657
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-100.04952216847225,214.0990443369445,330.4377267400431,10.241714251149862,53,164.80421300000003,finite_mle,joint_02161
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.54357903787997,217.08715807575993,332.4718935392325,9.988643045875138,53,164.80421300000003,finite_mle,joint_02161
