bootstrap_id,attempt_count,n_events_observation_support,n_events_response,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,reduced_converged,full_converged,likelihood_nesting_ok,eta_clipping_used
111,1,61,60,37,23,-218.71506278105085,-215.28162020067123,3.4334425803796194,6.866885160759239,True,True,True,False
112,1,78,78,45,33,-266.4211184037818,-266.1642605000179,0.25685790376388695,0.5137158075277739,True,True,True,False
113,1,58,58,33,25,-211.20402450711475,-210.8450434544142,0.3589810527005568,0.7179621054011136,True,True,True,False
114,1,52,52,34,18,-199.39689242424066,-198.9596458706604,0.4372465535802519,0.8744931071605038,True,True,True,False
115,1,54,54,38,16,-202.81568460442517,-202.12806754287834,0.6876170615468311,1.3752341230936622,True,True,True,False
116,1,41,40,24,16,-163.65047393265786,-163.1185346893284,0.5319392433294468,1.0638784866588935,True,True,True,False
117,1,44,44,27,17,-169.44041147050527,-168.9886633303745,0.4517481401307748,0.9034962802615496,True,True,True,False
118,1,52,52,36,16,-194.63119746005813,-194.4737925946423,0.15740486541582754,0.3148097308316551,True,True,True,False
119,1,49,49,30,19,-191.36697237179334,-191.19102899342874,0.17594337836459317,0.35188675672918635,True,True,True,False
120,1,58,58,36,22,-215.37926664619107,-213.96359620559704,1.4156704405940275,2.831340881188055,True,True,True,False
121,1,50,50,34,16,-193.28047592240654,-193.24146315255194,0.0390127698545939,0.0780255397091878,True,True,True,False
122,1,56,55,33,22,-203.5490294179161,-201.87664810019038,1.6723813177257227,3.3447626354514455,True,True,True,False
123,1,55,55,34,21,-201.8045522497451,-201.61607342561004,0.18847882413504635,0.3769576482700927,True,True,True,False
124,1,50,50,29,21,-192.85391209775784,-192.2881155643992,0.5657965333586503,1.1315930667173006,True,True,True,False
125,1,48,48,30,18,-184.69755721486683,-183.79035690268154,0.9072003121852958,1.8144006243705917,True,True,True,False
126,1,52,52,30,22,-197.46133057400004,-197.4412684799872,0.02006209401284309,0.04012418802568618,True,True,True,False
