replicate_id,seed,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,n_intervals,n_adjacent_pairs,residual_status
309,20260917,True,,65,0.0868506788984,0.0324058016028,65,64,ok
310,20260917,True,,68,0.0745002975804,0.129324763842,68,67,ok
311,20260917,True,,75,0.0907410640711,0.0446500772729,75,74,ok
312,20260917,True,,76,0.100658739997,0.0759755925453,76,75,ok
313,20260917,True,,76,0.0617372661731,0.136793800822,76,75,ok
314,20260917,True,,72,0.0574371959432,0.14497569448,72,71,ok
315,20260917,True,,53,0.105568675107,0.106987803692,53,52,ok
316,20260917,True,,77,0.0819147297182,0.100867576862,77,76,ok
317,20260917,True,,60,0.0860987308231,0.0725110875362,60,59,ok
318,20260917,True,,65,0.0718867986557,0.00114115616274,65,64,ok
319,20260917,True,,73,0.0684789256459,0.0335821082736,73,72,ok
320,20260917,True,,64,0.0693937916253,0.0332440381009,64,63,ok
321,20260917,True,,65,0.10692684262,0.0117649724643,65,64,ok
322,20260917,True,,72,0.0561249216718,0.0648090811387,72,71,ok
323,20260917,True,,62,0.0895445912614,0.219764405965,62,61,ok
324,20260917,True,,62,0.0788157887307,0.0866159488963,62,61,ok
325,20260917,True,,68,0.0746057018078,0.0322843997328,68,67,ok
326,20260917,True,,70,0.0850514363781,0.0930302907561,70,69,ok
327,20260917,True,,73,0.102132011726,0.0133756777372,73,72,ok
328,20260917,True,,69,0.0739716884441,0.0216831971898,69,68,ok
329,20260917,True,,69,0.0632727558536,0.0293465906514,69,68,ok
330,20260917,True,,58,0.113588273742,0.0511577572906,58,57,ok
331,20260917,True,,70,0.0548241635783,0.0210011555695,70,69,ok
332,20260917,True,,75,0.0880494434063,0.0171432353405,75,74,ok
333,20260917,True,,67,0.0746081771017,0.110754383765,67,66,ok
334,20260917,True,,70,0.0906163743746,0.0297293846382,70,69,ok
335,20260917,True,,67,0.0778644783549,0.0713208984977,67,66,ok
336,20260917,True,,60,0.0982860641091,0.0525342960149,60,59,ok
337,20260917,True,,68,0.081822380438,0.0168955549359,68,67,ok
338,20260917,True,,82,0.0730991551103,0.1012775809,82,81,ok
339,20260917,True,,55,0.0597217886812,0.0302900058771,55,54,ok
340,20260917,True,,58,0.112649106994,0.0545119926336,58,57,ok
341,20260917,True,,70,0.0553055221814,0.0330335113698,70,69,ok
342,20260917,True,,73,0.103006525554,0.105312787473,73,72,ok
343,20260917,True,,73,0.128207850125,0.0732010428998,73,72,ok
344,20260917,True,,64,0.0773101407101,0.0684699596392,64,63,ok
345,20260917,True,,73,0.0652352824122,0.0124098270622,73,72,ok
346,20260917,True,,71,0.0753337437804,0.23167238267,71,70,ok
347,20260917,True,,81,0.0566679701741,0.00707666864736,81,80,ok
348,20260917,True,,60,0.105670893576,0.113195852468,60,59,ok
349,20260917,True,,65,0.133432422019,0.0511416271568,65,64,ok
350,20260917,True,,61,0.101260409306,0.0347761378813,61,60,ok
351,20260917,True,,64,0.0515965372257,0.0783890939565,64,63,ok
352,20260917,True,,58,0.0613108825041,0.202570000419,58,57,ok
353,20260917,True,,74,0.0746132142769,0.0209858311351,74,73,ok
