composite_event_id,composite_event_number,composite_event_label,source_record,source_event_label,algorithm_config_id,smoothing_sigma_yr,search_half_width_yr,definition_pick_age_ka_bp,chronology_input_lower_approx95_ka_bp,chronology_input_upper_approx95_ka_bp,chronology_sampling_lower_approx95_ka_bp,chronology_sampling_upper_approx95_ka_bp,chronology_half_width_approx95_ka,chronology_sigma_ka,chronology_support_id,source_bound_repair_applied
MIS6_DO_15,15,MIS 6.15,MF,6.15,s050_w400,50.000000,400.000000,172.364000,171.272739,173.401342,171.272739,173.455261,1.091261,0.556776,MF_segment_0,False
MIS6_DO_16,16,MIS 6.16,MF,6.16,s050_w400,50.000000,400.000000,174.752000,172.670752,176.963658,172.540342,176.963658,2.211658,1.128418,MF_segment_0,False
MIS6_DO_01,1,MIS 6.1,MF,6.1,s050_w500,50.000000,500.000000,134.976000,133.968778,135.959500,133.968778,135.983222,1.007222,0.513898,MF_segment_0,False
MIS6_DO_02,2,MIS 6.2,MF,6.2,s050_w500,50.000000,500.000000,138.393000,137.791588,138.905059,137.791588,138.994412,0.601412,0.306848,MF_segment_0,False
MIS6_DO_03,3,MIS 6.3,MF,6.3,s050_w500,50.000000,500.000000,146.251000,145.712682,146.780851,145.712682,146.789318,0.538318,0.274657,MF_segment_0,False
MIS6_DO_04,4,MIS 6.4,MF,6.4,s050_w500,50.000000,500.000000,146.847000,146.232791,147.463913,146.230087,147.463913,0.616913,0.314757,MF_segment_0,False
MIS6_DO_05,5,MIS 6.5,MF,6.5,s050_w500,50.000000,500.000000,148.439000,147.793850,149.214280,147.663720,149.214280,0.775280,0.395558,MF_segment_0,False
MIS6_DO_06,6,MIS 6.6,MF,6.6,s050_w500,50.000000,500.000000,149.458000,148.607834,150.407069,148.508931,150.407069,0.949069,0.484228,MF_segment_0,False
MIS6_DO_07,7,MIS 6.7,MF,6.7,s050_w500,50.000000,500.000000,150.462000,149.803925,151.178143,149.745857,151.178143,0.716143,0.365386,MF_segment_0,False
MIS6_DO_08,8,MIS 6.8,MF,6.8,s050_w500,50.000000,500.000000,151.115000,150.535468,151.752017,150.477983,151.752017,0.637017,0.325015,MF_segment_0,False
MIS6_DO_09,9,MIS 6.9,MF,6.9,s050_w500,50.000000,500.000000,159.522000,158.840472,160.366590,158.677410,160.366590,0.844590,0.430921,MF_segment_0,False
MIS6_DO_10,10,MIS 6.10,MF,6.10,s050_w500,50.000000,500.000000,160.879000,160.500292,161.186200,160.500292,161.257708,0.378708,0.193222,MF_segment_0,False
MIS6_DO_11,11,MIS 6.11,MF,6.11,s050_w500,50.000000,500.000000,165.006000,164.400400,165.006000,164.400400,165.611600,0.605600,0.308985,MF_segment_0,False
MIS6_DO_12,12,MIS 6.12,MF,6.12,s050_w500,50.000000,500.000000,168.566000,168.255845,171.178428,165.953572,171.178428,2.612428,1.332896,MF_segment_0,False
MIS6_DO_13,13,MIS 6.13,MF,6.13,s050_w500,50.000000,500.000000,169.675000,169.273414,171.651278,167.698722,171.651278,1.976278,1.008323,MF_segment_0,False
MIS6_DO_14,14,MIS 6.14,MF,6.14,s050_w500,50.000000,500.000000,171.506000,170.156137,172.918883,170.093117,172.918883,1.412883,0.720872,MF_segment_0,False
MIS6_DO_15,15,MIS 6.15,MF,6.15,s050_w500,50.000000,500.000000,172.364000,171.272739,173.401342,171.272739,173.455261,1.091261,0.556776,MF_segment_0,False
MIS6_DO_16,16,MIS 6.16,MF,6.16,s050_w500,50.000000,500.000000,174.752000,172.670752,176.963658,172.540342,176.963658,2.211658,1.128418,MF_segment_0,False
MIS6_DO_01,1,MIS 6.1,MF,6.1,s075_w300,75.000000,300.000000,134.983000,133.973315,135.970583,133.973315,135.992685,1.009685,0.515155,MF_segment_0,False
MIS6_DO_02,2,MIS 6.2,MF,6.2,s075_w300,75.000000,300.000000,138.393000,137.791588,138.905059,137.791588,138.994412,0.601412,0.306848,MF_segment_0,False
MIS6_DO_03,3,MIS 6.3,MF,6.3,s075_w300,75.000000,300.000000,146.272000,145.731414,146.803823,145.731414,146.812586,0.540586,0.275814,MF_segment_0,False
MIS6_DO_04,4,MIS 6.4,MF,6.4,s075_w300,75.000000,300.000000,146.855000,146.238852,147.473118,146.236882,147.473118,0.618118,0.315372,MF_segment_0,False
MIS6_DO_05,5,MIS 6.5,MF,6.5,s075_w300,75.000000,300.000000,148.444000,147.796971,149.221992,147.666008,149.221992,0.777992,0.396942,MF_segment_0,False
MIS6_DO_06,6,MIS 6.6,MF,6.6,s075_w300,75.000000,300.000000,149.445000,148.600632,150.400541,148.489459,150.400541,0.955541,0.487530,MF_segment_0,False
MIS6_DO_07,7,MIS 6.7,MF,6.7,s075_w300,75.000000,300.000000,150.447000,149.786237,151.167274,149.726726,151.167274,0.720274,0.367493,MF_segment_0,False
MIS6_DO_08,8,MIS 6.8,MF,6.8,s075_w300,75.000000,300.000000,151.123000,150.543877,151.760406,150.485594,151.760406,0.637406,0.325213,MF_segment_0,False
MIS6_DO_09,9,MIS 6.9,MF,6.9,s075_w300,75.000000,300.000000,159.515000,158.839438,160.364707,158.665293,160.364707,0.849707,0.433532,MF_segment_0,False
MIS6_DO_10,10,MIS 6.10,MF,6.10,s075_w300,75.000000,300.000000,160.674000,160.108601,161.051157,160.108601,161.239399,0.565399,0.288474,MF_segment_0,False
MIS6_DO_11,11,MIS 6.11,MF,6.11,s075_w300,75.000000,300.000000,165.007000,164.401863,165.007000,164.401863,165.612137,0.605137,0.308749,MF_segment_0,False
MIS6_DO_12,12,MIS 6.12,MF,6.12,s075_w300,75.000000,300.000000,168.570000,168.274936,171.243647,165.896353,171.243647,2.673647,1.364131,MF_segment_0,False
MIS6_DO_13,13,MIS 6.13,MF,6.13,s075_w300,75.000000,300.000000,169.674000,169.272688,171.650787,167.697213,171.650787,1.976787,1.008584,MF_segment_0,False
MIS6_DO_14,14,MIS 6.14,MF,6.14,s075_w300,75.000000,300.000000,171.488000,170.127409,172.910717,170.065283,172.910717,1.422717,0.725889,MF_segment_0,False
MIS6_DO_15,15,MIS 6.15,MF,6.15,s075_w300,75.000000,300.000000,172.366000,171.274393,173.402461,171.274393,173.457607,1.091607,0.556953,MF_segment_0,False
MIS6_DO_16,16,MIS 6.16,MF,6.16,s075_w300,75.000000,300.000000,174.751000,172.670540,176.961798,172.540202,176.961798,2.210798,1.127979,MF_segment_0,False
