realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
2442,134.962000,138.396191,146.232722,146.831101,148.428850,149.463498,150.449285,151.105928,159.520297,160.881965,164.972681,168.532035,169.664291,171.129563,172.350321,174.735390,177.576536,180.245310,180.723310,190.573773,194.500119
2443,134.886267,138.350663,146.192219,146.784726,148.370629,149.392475,150.395179,151.057911,159.456841,160.853228,164.922323,168.352490,169.515574,171.021289,172.268162,174.568681,177.848933,179.871383,180.349383,190.870950,194.811856
2444,134.675949,138.213840,146.090635,146.663222,148.208045,149.175273,150.248661,150.925233,159.270397,160.766183,164.825592,167.787759,169.086268,171.085103,172.038914,174.093148,177.201666,180.098256,180.619256,190.179793,194.048146
2445,135.146372,138.507028,146.331325,146.944002,148.570589,149.636402,150.581004,151.222824,159.674779,160.951923,165.095276,168.969132,170.026340,171.393154,172.550337,175.141242,177.579725,180.179785,180.700785,190.580877,194.523443
2446,134.267898,137.967054,145.889134,146.417222,147.892992,148.768245,149.936871,150.671562,158.913201,160.273560,164.578416,166.676408,168.273954,170.480371,171.592877,173.185218,177.331829,179.837466,180.293466,190.318783,194.201726
2447,134.516000,138.114835,146.021968,146.569108,148.084163,149.003043,150.113859,150.828187,159.121994,160.412492,164.727112,167.333385,168.759696,170.829965,171.861110,173.728462,177.818064,179.520805,179.976805,190.837988,194.775434
2448,134.848260,138.327814,146.171892,146.761452,148.341410,149.356831,150.368026,151.033814,159.424996,160.838807,164.897051,168.262385,169.440939,170.966951,172.226930,174.485017,177.229318,179.504363,179.960363,190.209319,194.080772
2449,135.107221,138.471352,146.321132,146.927371,148.540003,149.581645,150.555299,151.197990,159.632033,160.928338,165.084897,168.906347,169.932469,171.690070,172.506169,175.040134,177.795604,179.954231,180.410231,190.810847,194.779331
2450,134.862694,138.336491,146.179612,146.770291,148.352506,149.370368,150.378338,151.042965,159.437090,160.844284,164.906648,168.296605,169.469283,170.987587,172.242589,174.516790,178.235917,179.744518,180.222518,191.276142,195.279280
2451,134.784508,138.289489,146.137797,146.722414,148.292399,149.297044,150.322481,150.993393,159.371579,160.814617,164.854660,168.111246,169.315750,170.875807,172.157768,174.344681,178.039621,179.222174,179.700174,191.074568,195.036849
2452,135.303286,138.601359,146.415243,147.040088,148.691220,149.783557,150.693106,151.322311,159.806254,161.011462,165.199613,169.341133,170.334470,171.617489,172.720565,175.486651,177.863477,179.428219,179.949219,190.883150,194.859783
2453,134.529705,138.126518,146.012474,146.573649,148.095478,149.037472,150.144681,150.832741,159.147767,160.711197,164.737662,167.408447,168.799322,170.879959,171.880468,173.772026,177.635039,179.839936,180.295936,190.639802,194.589009
2454,134.767743,138.268650,146.139696,146.719445,148.278701,149.261767,150.313928,150.983288,159.347370,160.800697,164.880784,168.025846,169.266378,171.213868,172.138367,174.294710,177.781397,179.601948,180.122948,190.795713,194.762491
2455,134.816259,138.297619,146.165625,146.749161,148.316044,149.307482,150.348423,151.013972,159.388052,160.818939,164.909955,168.151682,169.361572,171.281924,172.190931,174.401242,177.729750,179.350424,179.871424,190.740695,194.701272
2456,136.208259,139.122817,146.928004,147.605090,149.388099,150.604555,151.321057,151.896496,160.546125,161.360115,165.741337,171.814487,172.072844,173.214475,173.690672,177.433817,177.721169,179.767693,180.288693,190.727836,194.671026
2457,134.998298,138.418011,146.252134,146.853328,148.456754,149.497538,150.475216,151.128941,159.550710,160.895737,164.996816,168.618086,169.735568,171.181456,172.389699,174.815291,178.123811,178.977278,179.433278,191.160475,195.168365
2458,135.646578,138.793402,146.609396,147.257722,148.955158,150.089862,150.938786,151.539107,160.084302,161.131132,165.409190,170.305275,170.990746,172.446655,173.090528,176.224455,177.233446,180.371947,180.827947,190.213727,194.085643
2459,135.846320,138.912667,146.716150,147.380062,149.108903,150.278071,151.080804,151.665433,160.251792,161.206234,165.529286,170.823345,171.382661,172.726843,173.306936,176.663048,178.002038,179.967838,180.445838,191.027015,195.002915
2460,134.647734,138.196993,146.075556,146.645941,148.186327,149.148687,150.228601,150.907388,159.246738,160.755575,164.808628,167.714579,169.030907,171.045525,172.008345,174.031194,178.014341,179.979008,180.500008,191.043861,195.038607
2461,134.895996,138.356512,146.197422,146.790684,148.378108,149.401599,150.402130,151.064080,159.464993,160.856920,164.928792,168.375556,169.534679,171.035199,172.278717,174.590097,178.014806,179.574141,180.052141,191.048071,195.007570
2462,134.545946,138.132672,146.038001,146.587440,148.107237,149.031382,150.135221,150.847091,159.147194,160.429260,164.745059,167.412680,168.818324,170.872160,171.893485,173.794029,177.673304,179.638373,180.094373,190.680565,194.634366
2463,134.339758,138.013101,145.910955,146.457309,147.949272,148.858492,150.009627,150.712609,158.988490,160.639778,164.623455,166.915783,168.426626,170.613511,171.674673,173.354941,178.476339,179.542933,180.063933,191.540900,195.552133
