algorithm_config_id,component,mapping_lag_ka,composite_event_id,projected_depth_mm,chronology_sigma_before_conditioning_ka
s050_w300,So-57,-0.5,MIS6_DO_17,342.96484375296865,0.2654706535475667
s050_w300,So-57,-0.5,MIS6_DO_18,455.5326086989336,0.2384136785857465
s050_w300,So-57,-0.5,MIS6_DO_19,473.1798561184479,0.269958410364442
s050_w300,So-57,-0.5,MIS6_DO_20,798.1154734444285,0.4001157208430582
s050_w300,So-57,0.0,MIS6_DO_17,362.322222225037,0.3055402240587399
s050_w300,So-57,0.0,MIS6_DO_18,473.97122302484104,0.2718141988385435
s050_w300,So-57,0.0,MIS6_DO_19,491.2382671513664,0.2849361424260941
s050_w300,So-57,0.0,MIS6_DO_20,809.6980198055389,0.4419602933501514
s050_w300,So-57,0.5,MIS6_DO_17,381.1660516633212,0.3378905989593781
s050_w300,So-57,0.5,MIS6_DO_18,492.03358209293214,0.2830533759498141
s050_w300,So-57,0.5,MIS6_DO_19,509.4635036530237,0.2491102828212361
s050_w300,So-57,0.5,MIS6_DO_20,822.1622340463766,0.4868883019361372
s050_w300,So-57,1.0,MIS6_DO_17,399.7619047646882,0.2852046630679669
s050_w300,So-57,1.0,MIS6_DO_18,510.2683823562709,0.2479165098791853
s050_w300,So-57,1.0,MIS6_DO_19,527.7942238300672,0.231824677126773
s050_w300,So-57,1.0,MIS6_DO_20,835.2538860140872,0.5341222173417519
s050_w400,So-4,-1.0,MIS6_DO_17,962.0187969934336,0.294042366909643
s050_w400,So-4,-1.0,MIS6_DO_18,999.019047620126,0.2605682842698928
s050_w400,So-4,-1.0,MIS6_DO_19,1004.7597087389908,0.2894487105604768
s050_w400,So-4,-1.0,MIS6_DO_20,1102.1033623919288,0.301345115025469
s050_w400,So-4,-1.0,MIS6_DO_21,1122.254320988638,0.4278697567740505
s050_w400,So-4,-0.5,MIS6_DO_17,968.2869249403872,0.3414802703208507
s050_w400,So-4,-0.5,MIS6_DO_18,1005.0268292693972,0.2910353793077597
s050_w400,So-4,-0.5,MIS6_DO_19,1012.4975247547736,0.3299091782366427
s050_w400,So-4,-0.5,MIS6_DO_20,1105.224005135711,0.3038957008744078
s050_w400,So-4,-0.5,MIS6_DO_21,1125.3211633673227,0.4215212744308074
s050_w400,So-4,0.0,MIS6_DO_17,974.3238095247142,0.2989121906493734
s050_w400,So-4,0.0,MIS6_DO_18,1013.039024392453,0.3318749485740366
s050_w400,So-4,0.0,MIS6_DO_19,1024.9540540565636,0.2536873993936792
s050_w400,So-4,0.0,MIS6_DO_20,1108.353673724432,0.3137591684226757
s050_w400,So-4,0.0,MIS6_DO_21,1128.4467680618463,0.4028067479253853
s050_w400,So-4,0.5,MIS6_DO_17,980.3368794335224,0.2659357980038893
s050_w400,So-4,0.5,MIS6_DO_18,1025.5783132557403,0.2539269431528252
s050_w400,So-4,0.5,MIS6_DO_19,1043.9046454779077,0.3564531237277971
s050_w400,So-4,0.5,MIS6_DO_20,1111.4500609022157,0.3302809934400365
s050_w400,So-4,0.5,MIS6_DO_21,1131.561952441548,0.384922946758894
s050_w400,So-4,1.0,MIS6_DO_17,986.4430379756454,0.2464321972508371
s050_w400,So-4,1.0,MIS6_DO_18,1044.1802030468343,0.3642769960562149
s050_w400,So-4,1.0,MIS6_DO_19,1049.5361881790884,0.3626532862589368
s050_w400,So-4,1.0,MIS6_DO_20,1114.4692118235453,0.352526245243234
